Threads,Peak Performance (Mega Adds Per Second), Average Performance (Mega Adds Per Second),,,,
316,-71347.625,,,,,
317,-52991.88281,,,,,
318,-63681.02734,,,,,
319,-54895.46094,,,,,
320,-51697.10547,,,,,
321,-60195.08203,,,,,
322,-64592.63672,,,,,
323,-66194.85156,,,,,
324,-58887.78906,,,,,
325,-68708.38281,,,,,
326,-57187.08984,,,,,
327,-60614.55078,,,,,
328,-60443.26563,,,,,
329,-62311.96094,,,,,
330,-62396.61719,,,,,
331,-60009.70703,,,,,
332,-56077.30469,,,,,
333,-50669.08984,,,,,
334,-56312.60547,,,,,
335,-60669.86719,,,,,
336,-53610.875,,,,,
337,-52355.80078,,,,,
338,-58132.76172,,,,,
339,-50641.30078,,,,,
340,-55894.1875,,,,,
341,-54784.87109,,,,,
342,-57650.36719,,,,,
343,-57684.36328,,,,,
344,-50313.72656,,,,,
345,-51842.19141,,,,,
346,-42474.01953,,,,,
347,-49145.01953,,,,,
348,-39604.69922,,,,,
349,-43581.47266,,,,,
350,-42683.51953,,,,,
351,-42845.60156,,,,,
352,-40302.92578,,,,,
353,-39476.58984,,,,,
354,-39001.12891,,,,,
355,-31110.87305,,,,,
356,-37562.06641,,,,,
357,-34166.8125,,,,,
358,-27200.94336,,,,,
359,-35182.03516,,,,,
360,-14576.16309,,,,,
361,-25242.68945,,,,,
362,-24715.03711,,,,,
363,-24674.05469,,,,,
364,-10146.92773,,,,,
365,-25873.52539,,,,,
366,-19353.75781,,,,,
367,-21107.58594,,,,,
368,-11271.67676,,,,,
369,-17747.92383,,,,,
370,-8686.352539,,,,,
371,-15498.08398,,,,,
372,-9750.34082,,,,,
373,337.267517,,,,,
374,-3910.313232,,,,,
375,-1912.437256,,,,,
376,-3774.863037,,,,,
377,-9057.707031,,,,,
378,7852.484375,,,,,
379,11087.92969,,,,,
380,4532.209961,,,,,
381,12262.19043,,,,,
382,7988.037109,,,,,
383,14093.24219,,,,,
384,3519.177246,,,,,
385,15209.33301,,,,,
386,11889.46973,,,,,
387,13389.64453,,,,,
388,26878.58984,,,,,
389,19950.29102,,,,,
390,28530.49414,,,,,
391,30717.71484,,,,,
392,28215.32813,,,,,
393,31120.80859,,,,,
394,26489.24219,,,,,
395,33192.65625,,,,,
396,29266.49805,,,,,
397,29805.83984,,,,,
398,27242.30859,,,,,
399,29918.92773,,,,,
400,31893.67188,,,,,
401,44554.76172,,,,,
402,41185.21875,,,,,
403,37728.38672,,,,,
404,44115.25391,,,,,
405,41165.99609,,,,,
406,62343.71484,,,,,
407,44449.13281,,,,,
408,36481.04688,,,,,
409,48211.375,,,,,
410,48034.80859,,,,,
411,54764.67188,,,,,
412,42948.64063,,,,,
413,48433.20313,,,,,
414,66709.14844,,,,,
415,51986.23438,,,,,
416,58289.85547,,,,,
417,59539.83203,,,,,
418,58795.08984,,,,,
419,60142.78906,,,,,
420,65458.09375,,,,,
421,58179.87891,,,,,
422,53528.05469,,,,,
423,74888.77344,,,,,
424,58178.74609,,,,,
425,63242.01953,,,,,
426,67370.9375,,,,,
427,58595.84766,,,,,
428,65039.0625,,,,,
429,67376.92188,,,,,
430,55373.37109,,,,,
431,54018.73047,,,,,
432,69078.3125,,,,,
433,58007.19922,,,,,
434,47741.14844,,,,,
435,58440.88672,,,,,
436,56186.42578,,,,,
437,75416.20313,,,,,
438,54157.91406,,,,,
439,68078.69531,,,,,
440,62172.21094,,,,,
441,62547.62109,,,,,
442,63160.69141,,,,,
443,61900.14844,,,,,
444,52304.84375,,,,,
445,52780.49609,,,,,
446,53442.64844,,,,,
447,60151.95313,,,,,
448,62266.21484,,,,,
449,53315.01172,,,,,
450,54047.42188,,,,,
451,59750.55078,,,,,
452,44679.51563,,,,,
453,60303.98438,,,,,
454,44729.96875,,,,,
455,49522.34375,,,,,
456,41391.41406,,,,,
457,39860.97266,,,,,
458,43237.12891,,,,,
459,46302.89844,,,,,
460,44817.40625,,,,,
461,35599.28906,,,,,
462,36324.40625,,,,,
463,28471.92969,,,,,
464,39148.56641,,,,,
465,27053.20898,,,,,
466,30416.48438,,,,,
467,40219.61719,,,,,
468,24797.1582,,,,,
469,28719.62695,,,,,
470,21363.44531,,,,,
471,10187.18945,,,,,
472,18502.45117,,,,,
473,25740.55273,,,,,
474,16382.47266,,,,,
475,24426.22656,,,,,
476,23242.00391,,,,,
477,20890.61328,,,,,
478,12831.06543,,,,,
479,14695.95215,,,,,
480,759.708008,,,,,
481,219.163116,,,,,
482,5928.90332,,,,,
483,2757.833984,,,,,
484,-4880.407227,,,,,
485,3528.151611,,,,,
486,-4992.108887,,,,,
487,489.704651,,,,,
488,-1642.43396,,,,,
489,-593.00354,,,,,
490,-983.034546,,,,,
491,-2474.793701,,,,,
492,-7397.817383,,,,,
493,-17440.51172,,,,,
494,-31581.6543,,,,,
495,-18343.03516,,,,,
496,-18460.13086,,,,,
497,-22484.78906,,,,,
498,-32463.15625,,,,,
499,-20879.90039,,,,,
500,-24868.25195,,,,,
501,-14849.87793,,,,,
502,-29143.58984,,,,,
503,-28081.5,,,,,
504,-27371.68555,,,,,
505,-29216.00586,,,,,
506,-48011.16797,,,,,
507,-38381.44922,,,,,
508,-32759.09375,,,,,
509,-47014.67969,,,,,
510,-25209.36133,,,,,
511,-43290.83203,,,,,
512,-40882.24219,,,,,
513,-60043.23438,,,,,
514,-35788.13672,,,,,
515,-45786.5,,,,,
516,-41574.73828,,,,,
517,-43474.84375,,,,,
518,-34660.87109,,,,,
519,-46834.22266,,,,,
520,-47169.28516,,,,,
521,-56981.86328,,,,,
522,-60387.66797,,,,,
523,-59774.97266,,,,,
524,-57403.62891,,,,,
525,-51157.54688,,,,,
526,-48395.79297,,,,,
527,-54235.82031,,,,,
528,-64242.33984,,,,,
529,-58565.73828,,,,,
530,-54093.32813,,,,,
531,-62838.89844,,,,,
532,-51311.97266,,,,,
533,-55669.82813,,,,,
534,-58173.375,,,,,
535,-60170.64844,,,,,
536,-60960.28906,,,,,
537,-49560.84375,,,,,
538,-56180.37109,,,,,
539,-47351.09766,,,,,
540,-59838.92188,,,,,
541,-61318.95313,,,,,
542,-63649.13672,,,,,
543,-66967.90625,,,,,
544,-67024.75,,,,,
545,-49470.55469,,,,,
546,-58089.35547,,,,,
547,-54942.25781,,,,,
548,-50997.44141,,,,,
549,-64156.67578,,,,,
550,-56895.10547,,,,,
551,-55454.07422,,,,,
552,-66023.52344,,,,,
553,-46902.74609,,,,,
554,-61568.64063,,,,,
555,-54457.64063,,,,,
556,-61327.66406,,,,,
557,-47902.71875,,,,,
558,-55034.80469,,,,,
559,-52768.80469,,,,,
560,-56033.89063,,,,,
561,-37243.85156,,,,,
562,-40968.85938,,,,,
563,-45908.28516,,,,,
564,-51817.56641,,,,,
565,-48924.05859,,,,,
566,-50081.33594,,,,,
567,-45001.09375,,,,,
568,-37528.53125,,,,,
569,-32380.20703,,,,,
570,-36601.19141,,,,,
571,-22559.15234,,,,,
572,-28246.37891,,,,,
573,-36189.24609,,,,,
574,-48147.38672,,,,,
575,-34955.86328,,,,,
576,-26406.88867,,,,,
577,-22010.17773,,,,,
578,-25585.54297,,,,,
579,-16349.27246,,,,,
580,-13369.64844,,,,,
581,-17854.6875,,,,,
582,-16666.86328,,,,,
583,-22238.39063,,,,,
584,-26092.25586,,,,,
585,-14812.69141,,,,,
586,-22360.13281,,,,,
587,-5981.156738,,,,,
588,4762.871582,,,,,
589,-2660.23584,,,,,
590,-3637.379395,,,,,
591,-718.173584,,,,,
592,-4800.283691,,,,,
593,-4332.587891,,,,,
594,1641.884888,,,,,
595,-3164.254395,,,,,
596,4219.107422,,,,,
597,7283.18457,,,,,
598,11095.00781,,,,,
599,3229.167236,,,,,
600,10902.05371,,,,,
601,18392.14648,,,,,
602,18494.02148,,,,,
603,25505.52344,,,,,
604,9309.524414,,,,,
605,20348.89453,,,,,
606,31964.34766,,,,,
607,22353.58594,,,,,
608,21782.32031,,,,,
609,35061.88281,,,,,
610,36656.91797,,,,,
611,21199.86719,,,,,
612,36551.35547,,,,,
613,24853.60938,,,,,
614,34507.95313,,,,,
615,38643.41016,,,,,
616,37465.07813,,,,,
617,39432.35156,,,,,
618,31536.03906,,,,,
619,49390.78906,,,,,
620,46837.67969,,,,,
621,44881.3125,,,,,
622,46470.05078,,,,,
623,45358.09766,,,,,
624,42648.23828,,,,,
625,47890.5625,,,,,
626,57832.19141,,,,,
627,53916.18359,,,,,
628,46617.83203,,,,,
629,49860.85547,,,,,
630,45819.19922,,,,,
631,54592.88672,,,,,
632,53251.76563,,,,,
633,51658.85156,,,,,
634,47169.26953,,,,,
635,54070.44531,,,,,
636,48138.41406,,,,,
637,54897.10156,,,,,
638,57979.5,,,,,
639,60115.58984,,,,,
640,61786.70313,,,,,
641,55908.82813,,,,,
642,67187.55469,,,,,
643,58973.64063,,,,,
644,64767.30859,,,,,
645,59371.98438,,,,,
646,59019.94141,,,,,
647,53343.17969,,,,,
648,52060.99219,,,,,
649,66781.48438,,,,,
650,71339.10938,,,,,
651,57732.62109,,,,,
652,58941.23438,,,,,
653,50362.65234,,,,,
654,60505.72266,,,,,
655,63438.125,,,,,
656,63410.57422,,,,,
657,55345.07813,,,,,
658,53361.02734,,,,,
659,48984.21484,,,,,
660,40357.10938,,,,,
661,51916.1875,,,,,
662,59766.41797,,,,,
663,59285.55469,,,,,
664,51021.35547,,,,,
665,49501.82422,,,,,
666,59742.40625,,,,,
667,65644.92188,,,,,
668,39486.82422,,,,,
669,47702.14453,,,,,
670,42687.40625,,,,,
671,44661.69922,,,,,
672,45955.76172,,,,,
673,44657.94922,,,,,
674,41356.96094,,,,,
675,40164.66406,,,,,
676,46898.26563,,,,,
677,36002.51563,,,,,
678,34226.12109,,,,,
679,37435.11328,,,,,
680,37248.47656,,,,,
681,31770.14844,,,,,
682,25034.70508,,,,,
683,19278.78906,,,,,
684,21607.66602,,,,,
685,24189.1875,,,,,
686,16366.26953,,,,,
687,12740.17773,,,,,
688,27159.94727,,,,,
689,17518.93359,,,,,
690,21163.17773,,,,,
691,25445.13086,,,,,
692,9966.795898,,,,,
693,4502.794922,,,,,
694,9331.098633,,,,,
695,6229.390137,,,,,
696,11823.11035,,,,,
697,-477.211426,,,,,
698,10195.90332,,,,,
699,4938.594238,,,,,
700,2339.209961,,,,,
701,-363.520508,,,,,
702,-4099.27832,,,,,
703,-6350.550293,,,,,
704,-1334.281372,,,,,
705,-8821.111328,,,,,
706,3049.775146,,,,,
707,-6355.364746,,,,,
708,-8493.037109,,,,,
709,-10177.80078,,,,,
710,-23256.56445,,,,,
711,-16092.31641,,,,,
712,-19659.27539,,,,,
713,-22142.21289,,,,,
714,-18699.5957,,,,,
715,-25782.35742,,,,,
716,-30862.96484,,,,,
717,-30390.84375,,,,,
718,-27463.375,,,,,
719,-33891.28125,,,,,
720,-41141.39453,,,,,
721,-32353.22266,,,,,
722,-37627.21875,,,,,
723,-38233.85156,,,,,
724,-26819.70703,,,,,
725,-39852.66406,,,,,
726,-40523.17188,,,,,
727,-32881.30469,,,,,
728,-45631.5625,,,,,
729,-44370.625,,,,,
730,-45270.91016,,,,,
731,-48497.75781,,,,,
732,-38872.44531,,,,,
733,-49270.125,,,,,
734,-37716.35547,,,,,
735,-68269.35156,,,,,
736,-43182.58203,,,,,
737,-44666.67188,,,,,
738,-51717.39453,,,,,
739,-56136.46875,,,,,
740,-60141.48828,,,,,
741,-52638.34375,,,,,
742,-65721.85156,,,,,
743,-48693.62891,,,,,
744,-67629.38281,,,,,
745,-52894.11328,,,,,
746,-51948.55469,,,,,
747,-63581.72266,,,,,
748,-53608.9375,,,,,
749,-51722.20703,,,,,
750,-52902.60547,,,,,
751,-67107.14063,,,,,
752,-66894.46094,,,,,
753,-64760.21484,,,,,
754,-54385.45313,,,,,
755,-58742.42578,,,,,
756,-49912.96875,,,,,
757,-52153.89063,,,,,
758,-53780.28516,,,,,
759,-61736.41016,,,,,
760,-52511.71094,,,,,
761,-66686.10938,,,,,
762,-61077.94141,,,,,
763,-59331.70313,,,,,
764,-49186.73047,,,,,
765,-49581.94922,,,,,
766,-55726.04688,,,,,
767,-63888.28906,,,,,
768,-52860.10938,,,,,
769,-45843.55859,,,,,
770,-57805.33594,,,,,
771,-53408.38281,,,,,
772,-57829.00781,,,,,
773,-50650.0625,,,,,
774,-45063.48438,,,,,
775,-55313.35547,,,,,
776,-35448.17969,,,,,
777,-59506.35547,,,,,
778,-45687.66797,,,,,
779,-47933.44141,,,,,
780,-43775.66016,,,,,
781,-42583.49609,,,,,
782,-50150.05078,,,,,
783,-32714.85156,,,,,
784,-37900.10156,,,,,
785,-40531.72656,,,,,
786,-29570.29297,,,,,
787,-37634.09766,,,,,
788,-42054.46484,,,,,
789,-34485.40234,,,,,
790,-26649.19141,,,,,
791,-39319.30859,,,,,
792,-33573.94922,,,,,
793,-23448.45898,,,,,
794,-10068.83203,,,,,
795,-36640.52344,,,,,
796,-22670.92773,,,,,
797,-24394.29688,,,,,
798,-8126.012695,,,,,
799,-6364.04248,,,,,
800,-15455.37109,,,,,
801,-14760.18945,,,,,
802,-15629.90723,,,,,
803,-7253.250977,,,,,
804,-20713.14453,,,,,
805,-10995.31348,,,,,
806,-13747.76563,,,,,
807,-6990.036621,,,,,
808,6088.522949,,,,,
809,-4735.572754,,,,,
810,2395.423096,,,,,
811,7649.679199,,,,,
812,9591.789062,,,,,
813,-4156.453613,,,,,
814,6052.812012,,,,,
815,11396.73731,,,,,
816,4648.584961,,,,,
817,15703.91113,,,,,
818,29753.88086,,,,,
819,12926.21191,,,,,
820,27458.41211,,,,,
821,16806.86133,,,,,
822,19313.24805,,,,,
823,25365.10156,,,,,
824,30966.58594,,,,,
825,23682.94922,,,,,
826,34812.10156,,,,,
827,31505.71484,,,,,
828,45041.65625,,,,,
829,40370.28906,,,,,
830,25343.5918,,,,,
831,31597.32422,,,,,
832,32798.17578,,,,,
833,35463.73828,,,,,
834,46398.95313,,,,,
835,42850.43359,,,,,
836,37452.78516,,,,,
837,30016.17383,,,,,
838,54399.63281,,,,,
839,46301.53125,,,,,
840,42000.79688,,,,,
841,59828.66797,,,,,
842,48326.76953,,,,,
843,45852.51172,,,,,
844,49268.16016,,,,,
845,53768.76953,,,,,
846,46627.91406,,,,,
847,40504.58594,,,,,
848,62115.86719,,,,,
849,51326.32031,,,,,
850,59564.18359,,,,,
851,55941.60938,,,,,
852,46592.19531,,,,,
853,62111.27734,,,,,
854,45888.91016,,,,,
855,63127.66406,,,,,
856,49206.63281,,,,,
857,56581.18359,,,,,
858,71617.82813,,,,,
859,57958.69922,,,,,
860,64195.375,,,,,
861,65521.50391,,,,,
862,64715.14063,,,,,
863,64051.52344,,,,,
864,57138.97266,,,,,
865,49765.11719,,,,,
866,43163.72266,,,,,
867,55307.57813,,,,,
868,63187.46875,,,,,
869,64081.08984,,,,,
870,65040.30859,,,,,
871,53421.80469,,,,,
872,54552.06641,,,,,
873,58789.23438,,,,,
874,51848.11719,,,,,
875,60008.70703,,,,,
876,54788.73438,,,,,
877,45572.14844,,,,,
878,44272.00781,,,,,
879,50179.26172,,,,,
880,54760.35938,,,,,
881,54748.24609,,,,,
882,39036.32813,,,,,
883,50072.09766,,,,,
884,46204.08203,,,,,
885,45972.69141,,,,,
886,42828.76953,,,,,
887,43851.16016,,,,,
888,36619.96484,,,,,
889,34891.71875,,,,,
890,36935.05469,,,,,
891,31014.24023,,,,,
892,47791.67578,,,,,
893,41398.77344,,,,,
894,31536.97656,,,,,
895,23830.44336,,,,,
896,33195.79688,,,,,
897,35239.13281,,,,,
898,37689.94531,,,,,
899,27480.67969,,,,,
900,16490.58789,,,,,
901,27635.11719,,,,,
902,26763.65625,,,,,
903,10693.97266,,,,,
904,23231.45898,,,,,
905,27755.13867,,,,,
906,14778.9043,,,,,
907,14841.44824,,,,,
908,13613.71094,,,,,
909,11839.2793,,,,,
910,15802.24316,,,,,
911,13242.58691,,,,,
912,6077.114258,,,,,
913,8156.991699,,,,,
914,-5012.103516,,,,,
915,-9053.803711,,,,,
916,959.249878,,,,,
917,3154.670166,,,,,
918,-9425.723633,,,,,
919,-6959.930176,,,,,
920,-9120.24707,,,,,
921,-3046.621094,,,,,
922,-12411.67871,,,,,
923,-10546.90918,,,,,
924,-15190.61328,,,,,
925,-7170.78418,,,,,
926,-13552.70508,,,,,
927,-1570.102051,,,,,
928,-5425.221191,,,,,
929,-17075.04688,,,,,
930,-19962.54297,,,,,
931,-23870.375,,,,,
932,-27878.32031,,,,,
933,-25341.58008,,,,,
934,-32559.57422,,,,,
935,-39029.72266,,,,,
936,-35290.73828,,,,,
937,-25899.67188,,,,,
938,-33179.52734,,,,,
939,-38431.97656,,,,,
940,-41108.52734,,,,,
941,-30869.10156,,,,,
942,-47701.28906,,,,,
943,-36476.64453,,,,,
944,-43836.32813,,,,,
945,-42811.09766,,,,,
946,-46639.15234,,,,,
947,-47594.10938,,,,,
948,-49373.84766,,,,,
949,-54860.81641,,,,,
950,-50640.96875,,,,,
951,-43816.49219,,,,,
952,-42401.48047,,,,,
953,-55503.71094,,,,,
954,-53028.37109,,,,,
955,-54035.96484,,,,,
956,-61962.35938,,,,,
957,-53662.32031,,,,,
958,-46213.51953,,,,,
959,-57434.54297,,,,,
960,-54601.47266,,,,,
961,-54147.55469,,,,,
962,-59506.55859,,,,,
963,-45025.875,,,,,
964,-47918.45313,,,,,
965,-65039.63672,,,,,
966,-57398.77344,,,,,
967,-62597.5,,,,,
968,-59634.26172,,,,,
969,-67456.90625,,,,,
970,-50483.28125,,,,,
971,-55851.87109,,,,,
972,-58278.10547,,,,,
973,-63788.67969,,,,,
974,-47807.87891,,,,,
975,-62559.15625,,,,,
976,-55801.52344,,,,,
977,-53464.55078,,,,,
978,-51106.53906,,,,,
979,-54023.21875,,,,,
980,-52042.05859,,,,,
981,-58127.48047,,,,,
982,-45496.57422,,,,,
983,-50567.66406,,,,,
984,-52787.39453,,,,,
985,-63324.79688,,,,,
986,-47117.98828,,,,,
987,-51724.75,,,,,
988,-53659.81641,,,,,
989,-52004.21484,,,,,
990,-58259.70703,,,,,
991,-39205.87109,,,,,
992,-47370.62891,,,,,
993,-46372.90234,,,,,
994,-46667.67578,,,,,
995,-42840.14063,,,,,
996,-35169.71875,,,,,
997,-50461.55469,,,,,
998,-45269.3125,,,,,
999,-41099,,,,,
1000,-31626.7168,,,,,
1001,-27937.15625,,,,,
1002,-22528.32617,,,,,
1003,-26158.93945,,,,,
1004,-37447.74219,,,,,
1005,-23754.74609,,,,,
1006,-37891.55859,,,,,
1007,-30539.43555,,,,,
1008,-24079.98242,,,,,
1009,-24754.31445,,,,,
1010,-30367.73828,,,,,
1011,-24353.2793,,,,,
1012,-20638.49023,,,,,
1013,-11553.10254,,,,,
1014,-21795.88281,,,,,
1015,-15647.37891,,,,,
1016,-26098.16406,,,,,
1017,-8485.791016,,,,,
1018,-20249.28711,,,,,
1019,-20561.75195,,,,,
